100, 100, 30, 30, 0.9, 238
(1, 1, 30, 40)
(1, 2, 30, 40)
(1, 3, 30, 40)
(1, 4, 30, 40)
(1, 5, 30, 40)
(1, 6, 30, 40)
(1, 7, 30, 40)
(1, 8, 30, 40)
(1, 9, 30, 40)
(1, 10, 30, 37)
(1, 11, 30, 37)
(1, 12, 30, 29)
(1, 13, 30, 29)
(1, 14, 30, 29)
(1, 15, 30, 22)
(1, 17, 30, 19)
(1, 18, 30, 19)
(1, 19, 30, 19)
(1, 20, 30, 19)
(1, 21, 30, 22)
(1, 22, 30, 22)
(1, 23, 30, 22)
(1, 24, 30, 29)
(1, 25, 30, 39)
(1, 26, 30, 39)
(1, 27, 30, 39)
(1, 28, 30, 39)
(1, 29, 30, 39)
(1, 30, 30, 39)
(1, 31, 30, 29)
(2, 1, 27.0, 29)
(2, 2, 27.0, 32)
(2, 3, 27.0, 22)
(2, 4, 27.0, 22)
(2, 5, 27.0, 22)
(2, 6, 27.0, 32)
(2, 7, 27.0, 32)
(2, 8, 27.0, 32)
(2, 9, 27.0, 32)
(2, 10, 27.0, 32)
(2, 11, 27.0, 32)
(2, 12, 27.0, 32)
(2, 13, 27.0, 41)
(2, 14, 27.0, 41)
(2, 15, 27.0, 41)
(2, 16, 27.0, 32)
(2, 17, 27.0, 29)
(2, 18, 27.0, 29)
(2, 19, 27.0, 29)
(2, 20, 27.0, 32)
(2, 21, 27.0, 32)
(2, 22, 27.0, 24)
(2, 23, 27.0, 22)
(2, 24, 27.0, 11)
(2, 25, 27.0, 13)
(2, 26, 27.0, 15)
(2, 27, 27.0, 15)
(2, 28, 27.0, 15)
(2, 29, 27.0, 15)
(2, 30, 27.0, 15)
(3, 1, 24.3, 15)
(3, 2, 24.3, 15)
(3, 3, 24.3, 13)
(3, 4, 24.3, 13)
(3, 5, 24.3, 13)
(3, 6, 24.3, 13)
(3, 7, 24.3, 11)
(3, 8, 24.3, 11)
(3, 9, 24.3, 11)
(3, 11, 24.3, 11)
(3, 12, 24.3, 11)
(3, 13, 24.3, 11)
(3, 14, 24.3, 11)
(3, 15, 24.3, 11)
(3, 16, 24.3, 8)
(3, 17, 24.3, 8)
(3, 18, 24.3, 8)
(3, 19, 24.3, 11)
(3, 20, 24.3, 11)
(3, 22, 24.3, 11)
(3, 23, 24.3, 13)
(3, 24, 24.3, 13)
(3, 25, 24.3, 13)
(3, 26, 24.3, 15)
(3, 27, 24.3, 15)
(3, 30, 24.3, 15)
(3, 32, 24.3, 15)
(3, 33, 24.3, 13)
(3, 34, 24.3, 15)
(3, 35, 24.3, 13)
(4, 1, 21.87, 13)
(4, 2, 21.87, 13)
(4, 3, 21.87, 13)
(4, 4, 21.87, 13)
(4, 5, 21.87, 13)
(4, 6, 21.87, 15)
(4, 7, 21.87, 13)
(4, 8, 21.87, 24)
(4, 9, 21.87, 24)
(4, 10, 21.87, 24)
(4, 11, 21.87, 13)
(4, 12, 21.87, 11)
(4, 14, 21.87, 22)
(4, 15, 21.87, 22)
